CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.7690804, 0.7862666666666667, 0.76378316, 0.7986333333333333
0.7132375, 0.8696166666666667, 0.7920439, 0.7242166666666666
0.7781941, 0.7991166666666667, 0.78406173, 0.7651333333333333
0.7201073, 0.8532, 0.8259853, 0.7524166666666666
0.76363826, 0.7904, 0.82129204, 0.72555
0.7705741, 0.82215, 0.7791579, 0.77705
0.75543904, 0.8210333333333333, 0.7711552, 0.7959666666666667
0.7742706, 0.8342833333333334, 0.7741208, 0.7832833333333333
0.7617854, 0.8213333333333334, 0.79466367, 0.79755
0.74679726, 0.7767166666666667, 0.807821, 0.7632666666666666
