CVNN loss, RVNN loss
0.16718109,0.2500011
0.25001407,0.25002065
0.21410938,0.25002462
0.24999942,0.24999247
0.2417339,0.24999961
0.24999732,0.2500072
0.10187316,0.25000587
0.2500085,0.24999821
0.2500207,0.24999817
0.1022348,0.25002128
0.11905049,0.2500021
0.24818604,0.2500033
0.25000462,0.25001532
0.121406876,0.25000373
0.25000092,0.24999443
0.24930605,0.2500041
0.24255711,0.24999985
0.2188209,0.24999736
0.24999893,0.25000805
0.23542167,0.25000197
0.24939589,0.24999808
0.20486352,0.25000864
0.06074997, 0.24998799
0.23916191, 0.24999572
0.23261763, 0.25000507
0.21124366, 0.25000137
0.1953725, 0.25000063
0.2500061, 0.25000736
0.21012075, 0.24999934
0.25001067, 0.25000656
0.12523276, 0.25001776
0.24999736, 0.24999855
0.2500316, 0.25000453
0.12801635, 0.25000137
0.24999976, 0.25000095
0.25000596, 0.24999546
0.24382026, 0.25000098
0.24454711, 0.24999438
0.2500002, 0.25000134
0.25000328, 0.2500055
0.22957388, 0.25002444
0.25000018, 0.25000465
0.24558115, 0.25000438
0.16949987, 0.24999839
0.17213592, 0.25000152
0.2500077, 0.2500043
0.19582444, 0.25000417
0.22974952, 0.25000304
0.2333371, 0.24999349
0.25000465, 0.25002328
0.17679977, 0.2500416
0.23664083, 0.24999785
0.25001884, 0.24999912
0.24999821, 0.25004676
0.25002694, 0.249994
0.24486658, 0.2500234
0.19047493, 0.2500004
0.23004828, 0.24999931
0.2500007, 0.2500043
0.21552627, 0.25000155
0.22642471, 0.25001392
0.11277383, 0.2500023
0.24821545, 0.25003266
0.25012413, 0.2500201
0.24999924, 0.25001264
0.24381866, 0.2500041
0.24941504, 0.24999861
0.25000462, 0.24999768
0.24559595, 0.2500061
0.250017, 0.2499945
0.22770874, 0.25000858
0.11790072, 0.24998318
0.2500006, 0.25000313
0.17683974, 0.25000075
0.25000116, 0.25003153
0.2500022, 0.25000873
0.25000098, 0.24997874
0.14135684, 0.2500348
0.14308551, 0.25000277
0.25000113, 0.2500179
0.09011267, 0.2500004
0.24900068, 0.25000116
0.05236581, 0.25000235
0.076300375, 0.25000045
0.23801914, 0.24999908
0.2500002, 0.25001153
0.24848904, 0.2500005
0.2325375, 0.25000528
0.22490093, 0.2500021
0.2213453, 0.25002035
0.24999526, 0.2500063
0.22853774, 0.25000703
0.24128073, 0.24999976
0.1077025, 0.2500417
0.25000235, 0.2500026
0.22346547, 0.25002378
0.24680415, 0.25000572
0.17176768, 0.25
0.18486682, 0.24999961
0.10478684, 0.2500006
0.25003847, 0.25004238
0.22027756, 0.24999997
0.20040715, 0.25000164
0.25002947, 0.25003815
0.19139418, 0.24999866
0.25001314, 0.25000384
0.15186459, 0.24999875
0.2500001, 0.25000733
0.25000042, 0.24999592
0.25000995, 0.25000912
0.08132985, 0.25001153
0.24052724, 0.25000176
0.25000116, 0.25004306
0.122597754, 0.25000212
0.21432798, 0.2500152
0.23776363, 0.25000346
0.24428381, 0.2500006
0.17063712, 0.2499916
0.25000226, 0.24999917
0.18062383, 0.24999629
0.23140363, 0.24999686
0.2500091, 0.2500195
0.1102437, 0.25000197
0.25002477, 0.2500135
0.17642234, 0.2500054
0.15823591, 0.25002655
0.2298166, 0.2500061
0.24999993, 0.25000405
0.13587658, 0.24999936
0.19596718, 0.2500192
0.25001192, 0.2500499
0.2500437, 0.24998267
0.24999712, 0.25002325
0.24652171, 0.25001734
0.25000086, 0.24999943
0.24004707, 0.2500043
0.24891996, 0.25000197
0.2501561, 0.2500007
0.25001344, 0.25000054
0.21962847, 0.25005758
0.24999936, 0.25000778
0.19237155, 0.25003746
0.22499858, 0.25000006
0.2341708, 0.25000018
0.19093281, 0.25001386
0.25001407, 0.2500331
0.15558928, 0.25001478
0.19747679, 0.2499951
0.24998565, 0.24999678
0.2500003, 0.25000146
0.24196963, 0.250004
0.23735425, 0.2499999
0.19766577, 0.25000796
0.24674834, 0.25000036
0.18134817, 0.24999659
0.24639595, 0.2500169
0.10600188, 0.25000766
0.12253613, 0.25002605
0.24960196, 0.2500002
0.24999878, 0.25000808
0.24999996, 0.24999511
0.20062703, 0.24999936
0.25004742, 0.25008088
0.25000575, 0.25001344
0.22898762, 0.24999814
0.18188144, 0.25000075
0.25000694, 0.25000057
0.061215222, 0.250014
0.036193445, 0.25000942
0.24999997, 0.25000507
0.24268974, 0.25000188
0.25001815, 0.2500176
0.15375718, 0.2500001
0.24973911, 0.25002676
0.2439397, 0.2500227
0.24814509, 0.2500052
0.1873521, 0.25000912
0.07834279, 0.24999934
0.24999653, 0.25000387
0.25001445, 0.2500341
0.25000438, 0.24999821
0.20440486, 0.25001368
0.20739321, 0.25000352
0.2498893, 0.25000006
0.17307742, 0.24999939
0.0883238, 0.24999781
0.14429277, 0.25000438
0.23920439, 0.25000343
0.20852746, 0.25000843
0.25001302, 0.24999186
0.2272626, 0.2499959
0.25000194, 0.25000727
0.2500004, 0.24999334
0.22847432, 0.25003278
0.2472616, 0.24999996
0.109745584, 0.24999858
0.23708819, 0.2500068
0.11570709, 0.25001332
0.16821091, 0.25000277
0.25000384, 0.25000033
0.19336483, 0.25003773
0.23343897, 0.24999331
0.24905273, 0.25001264
0.24602488, 0.2499938
0.25000367, 0.24999878
0.21587832, 0.24999896
0.24999323, 0.24999353
0.2500446, 0.25000343
0.25000098, 0.25000784
0.25000098, 0.25000533
0.016183954, 0.09158492
0.25000933, 0.25000277
0.19469468, 0.25000012
0.1842514, 0.25000322
0.2499999, 0.25000304
0.095407195, 0.25003955
0.2500145, 0.25001445
0.25000152, 0.2499995
0.07343401, 0.24999712
0.22855249, 0.24999917
0.25001425, 0.25000086
0.25000024, 0.2500037
0.08542426, 0.25000155
0.25000477, 0.25000158
0.2500147, 0.2499987
0.08658296, 0.24999997
0.22019131, 0.2499936
0.20683537, 0.24999624
0.15484087, 0.24999869
0.25000182, 0.25002274
0.25000238, 0.25000024
0.2489592, 0.25001532
0.19680972, 0.24999368
0.15356745, 0.24999453
0.2398677, 0.2500257
0.24650112, 0.25002518
0.25002202, 0.24999978
0.14469585, 0.2499976
0.25000757, 0.2500193
0.24568436, 0.250002
0.21791011, 0.2500006
0.25000465, 0.2499981
0.24761377, 0.25004107
0.25000405, 0.25000745
0.22310239, 0.24999794
0.23554404, 0.25000817
0.048551083, 0.25000057
0.23598659, 0.24999939
0.21745816, 0.24999927
0.25000033, 0.25003746
0.20749635, 0.25000232
0.20474233, 0.25000253
0.100885205, 0.25000072
0.12122496, 0.25000328
0.24817964, 0.2500042
0.25002673, 0.25000456
0.2081519, 0.24999829
0.2490655, 0.2500025
0.10079658, 0.25000113
0.25001514, 0.2500234
0.24605253, 0.25000235
0.25000155, 0.25000075
0.25000122, 0.25001666
0.24510144, 0.25000492
0.25001127, 0.2500032
0.24999985, 0.25000134
0.2500026, 0.24999946
0.23501728, 0.2500003
0.14933044, 0.25000238
0.2500248, 0.25000897
0.20681441, 0.2500409
0.24874346, 0.25000384
0.22574827, 0.25001386
0.23407553, 0.24999024
0.25000113, 0.25000027
0.22708516, 0.2500002
0.25000197, 0.25001195
0.21227227, 0.24999343
0.24999632, 0.25003532
0.14415547, 0.25000238
0.23451929, 0.2500128
0.2206844, 0.25000897
0.2499977, 0.25000197
0.23460087, 0.25000116
0.250004, 0.2500023
0.25000533, 0.24999866
0.22528504, 0.25000063
0.2353249, 0.25000063
0.24748126, 0.2499982
0.23455875, 0.24999766
0.25001088, 0.2500025
0.2500495, 0.25001928
0.123491734, 0.25000128
0.24999756, 0.25003532
0.24999683, 0.25000927
0.22595172, 0.2500123
0.23966625, 0.25001562
0.24999946, 0.24999873
0.2500013, 0.2500021
0.13537288, 0.25003436
0.2441918, 0.24999858
0.17020865, 0.2500045
0.2500837, 0.25002137
0.23769936, 0.24999824
0.24854365, 0.2499981
0.24141352, 0.2500017
0.24967556, 0.2500118
0.25001296, 0.25000143
0.2500038, 0.24999946
0.24827866, 0.24999678
0.2500202, 0.24999592
0.23411778, 0.25000384
0.24999721, 0.24999614
0.2499972, 0.2500044
0.25000128, 0.25000668
0.24944419, 0.2500056
0.19674917, 0.25000006
0.24119712, 0.2500526
0.25001734, 0.25003767
0.25001237, 0.2500025
0.24974503, 0.24999736
0.25000453, 0.24999946
0.22518378, 0.25000316
0.20017678, 0.24999423
0.24230453, 0.2499999
0.1657784, 0.25006285
0.24560137, 0.25001237
0.2500022, 0.25000066
0.15846872, 0.24999194
0.17370406, 0.25000244
0.2500182, 0.24999395
