CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.66563815,0.7559,0.67075527,0.773125
0.6701238,0.668025,0.6777046,0.746325
0.6633954,0.786625,0.68606925,0.708325
0.68292224,0.6562,0.6807377,0.7196
0.6707266,0.761925,0.6753355,0.7959
0.6629834,0.758275,0.6751683,0.7635
0.6839381,0.654075,0.6750685,0.779825
0.67533946,0.7052,0.681337,0.69935
0.68225,0.670025,0.68487173,0.70235
0.6843584,0.666575,0.6885352,0.63785
0.674167555,0.7082825,0.679558305,0.732615
