CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.4934538, 0.83655, 0.49675566, 0.7440833333333333
0.49692982, 0.784, 0.49323574, 0.7969333333333334
0.4895803, 0.8160333333333334, 0.48844573, 0.80455
0.49403688, 0.81355, 0.49079248, 0.8220166666666666
0.49572542, 0.8047833333333333, 0.4922799, 0.7333833333333334
0.49342346, 0.8347, 0.49218464, 0.80005
0.48840648, 0.8494666666666667, 0.48985112, 0.8181666666666667
0.49659407, 0.8131166666666667, 0.49266478, 0.7889
0.49520534, 0.7867, 0.49157688, 0.7912166666666667
0.4916737, 0.8111833333333334, 0.49209714, 0.7791166666666667
