CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.8376005, 0.8832166666666666, 0.8338156, 0.8648166666666667
0.8223361, 0.8679833333333333, 0.83620536, 0.9002166666666667
0.86282945, 0.80495, 0.8813774, 0.84855
0.89625776, 0.8368, 0.83225083, 0.8877
0.82121396, 0.8659333333333333, 0.8925578, 0.7823
0.85127944, 0.8358166666666667, 0.86445016, 0.8628833333333333
0.8402723, 0.8325666666666667, 0.8489052, 0.8736166666666667
0.9075202, 0.8041166666666667, 0.82463765, 0.9107833333333333
0.79193735, 0.8742166666666666, 0.7975095, 0.9068833333333334
0.87062496, 0.7934333333333333, 0.86858815, 0.8426
