CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.96730834, 0.6402333333333333, 0.9296016, 0.7029
0.95121783, 0.7127166666666667, 0.9427517, 0.7031833333333334
0.9427263, 0.68, 0.9707534, 0.63715
0.93859535, 0.67535, 0.9377813, 0.6893833333333333
0.9217143, 0.6846333333333333, 0.9670814, 0.7029333333333333
0.93722254, 0.6282166666666666, 0.97507876, 0.6826333333333333
0.90959466, 0.6357333333333334, 0.99392396, 0.71295
0.931329, 0.6585, 0.9482324, 0.6884333333333333
0.94652617, 0.6841833333333334, 0.9554758, 0.6938666666666666
0.9133789, 0.7106666666666667, 0.9955637, 0.7115333333333334
