CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.9426002, 0.7000833333333333, 0.9315234, 0.7479
0.9641517, 0.6983166666666667, 0.96026653, 0.7032666666666667
0.95460546, 0.7043833333333334, 0.9480895, 0.7207333333333333
0.94849026, 0.7411666666666666, 0.989362, 0.6021666666666666
0.9218971, 0.64485, 0.9337038, 0.6662666666666667
0.9620156, 0.6788833333333333, 0.9439065, 0.7232
0.9239564, 0.719, 0.9463047, 0.6455666666666666
0.93825376, 0.60045, 0.9415492, 0.74655
0.9334891, 0.66665, 0.93969333, 0.65585
0.923997, 0.6377833333333334, 0.9350818, 0.7326333333333334
