CVNN loss, CVNN acc, RVNN loss, RVNN acc
0.52277386, 0.9887666666666667, 0.5438916, 0.9781666666666666
0.5049729, 0.9929833333333333, 0.532137, 0.955
0.5562848, 0.8703166666666666, 0.511075, 0.9987166666666667
0.52093893, 0.9796833333333334, 0.52172434, 0.9965333333333334
0.5148498, 0.9291833333333334, 0.5350597, 0.9653
0.520041, 0.9834, 0.5227295, 0.9775
0.53201246, 0.9444833333333333, 0.5409934, 0.9343833333333333
0.51706934, 0.9761833333333333, 0.5125233, 0.9972166666666666
0.5373671, 0.9909833333333333, 0.52920437, 0.99695
0.5222179, 0.9916166666666667, 0.5379216, 0.9391666666666667
